title,lyrics
I’m So Tired (Take 7)," Uh, it's so complicated Uh, what- how was anybody else's key, cause' I was better singing on the previous one? What does that mean? (Do it again) Ok, do it again It's just that there's all them to choose from, then One, two, three  I'm so tired, I haven't slept a wink I'm so tired, my mind is on the blink I wonder should I get up and fix myself a drink No, no, no  I'm so tired, I don't know what to do I'm so tired, my mind is set on you I wonder should I call you but I know what you would do  You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind I'm so tired, I'm feeling so upset Although I'm so tired, I'll have another cigarette And curse Sir Walter Raleigh, he was such a stupid git  You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane! You know I'd give you everything I've got For a little peace of mind I'd give you everything I've got for a little peace of mind I'd give you everything I've got for a little peace of mind  If you think it was good, keep it If you don't, scrap itEmbed"
I’m Talking About You,"Let me tell you 'bout a girl I know I met her walking down a uptown street She's so fine you know I wished she was mine I get shook up every time we meet I'm talkin' 'bout you Nobody but you Yeah, I do mean you I'm just trying to get a message to you Let me tell you 'bout a girl I know I tell ya now she looks so good Got so much skills and such a beautiful will She oughta be somewhere in Hollywood I'm talkin' 'bout you Nobody but you Come on and give me a cue So I can get a message to you Let me tell you 'bout a girl I know She's sitting right here by my side Lovely indeed that why I asked if she Promised someday she will be my bride Talkin' 'bout you I do mean you Nobody but you Come on, let me get a message throughEmbed"
India,"Oh yeah, alright Are you gonna be in my dreams, tonight? Love you, love you, love you, love you Love you, love you, love you, love you Love you, love you, love you, love you Love you, love you, love you, love you Love you, love you, love you, love you Love you, love you, love you, love you And in the end the love you take Is equal to the love you makeEmbed"
I Need You," You don't realize how much I need you Love you all the time and never leave you Please come on back to me I'm lonely as can be I need you  Said you had a thing or two to tell me How was I to know you would upset me? I didn't realize as I looked in your eyes You told me  Oh yes, you told me, you don't want my lovin' anymore That's when it hurt me and feeling like this I just can't go on anymore  Please remember how I feel about you I could never really live without you So, come on back and see just what you mean to me. I need you  But when you told me, you don't want my lovin' anymore That's when it hurt me and feeling like this, I just can't go on anymore Please remember how I feel about you I could never really live without you So, come on back and see just what you mean to me. I need you I need you I need you2Embed"
In My Life," There are places I'll remember All my life, though some have changed Some forever, not for better Some have gone and some remain  All these places had their moments With lovers and friends, I still can recall Some are dead and some are living In my life, I've loved them all  But of all these friends and lovers There is no one compares with you And these memories lose their meaning When I think of love as something new  Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life, I love you more  Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life, I love you more  In my life, I love you more31Embed"
Introduction / I Saw Her Standing There," (German)  Well, she was just 17, if you know what I mean And the way she looked was way beyond compare So how could I dance with another (Ooh) When I saw her standing there?  Well, she looked at me, and I, I could see That before too long, I'd fall in love with her She wouldn't dance with another (Woo) When I saw her standing there  Well, my heart went ""boom"" when I crossed that room And I held her hand in mine  Well, we danced through the night, and we held each other tight And before too long, I fell in love with her Now, I'll never dance with another (Woo) Since I saw her standing there  Well, my heart went ""boom"" When I crossed that room And I held her hand in mine  Oh, we danced through the night, and we held each other tight And before too long, I fell in love with her Now I'll never dance with another (Woo) Since I saw her standing there  Oh, since I saw her standing there Yeah, well, since I saw her standing thereEmbed"
I Remember You (Live in Germany)," Oh, I remember you-ooh I remember, too, a distant bell and stars that fell Like the rain out of the blue-ooh  When my life is through And the angels ask me to recall The thrill of it all Then I will tell them I remember you-ooh  I remember, too, a distant bell and stars that fell Like the rain out of the blue-ooh  When my life is through And the angels ask me to recall The thrill of it all Then I will tell them I remember you-ooh  I remember, too, a distant bell and stars that fell Like the rain out of the blue-ooh  When my life is through And the angels ask me to recall The thrill of it all Then I will tell them I remember Tell them I remember Tell them I remember you1Embed"
I Saw Her Standing There," One, two, three, four! Well, she was just seventeen and you know what I mean And the way she looked was way beyond compare So how could I dance with another? (Oh) When I saw her standing there?  Well, she looked at me, and I, I could see That before too long, I'd fall in love with her She wouldn't dance with another (Woah) When I saw her standing there Well, my heart went ""boom"" when I crossed that room And I held her hand in mine  Well, we danced through the night, and we held each other tight And before too long, I fell in love with her Now, I'll never dance with another (Woah) Since I saw her standing there  Well, my heart went ""boom"" when I crossed that room And I held her hand in mine  Oh, we danced through the night, and we held each other tight And before too long, I fell in love with her Now I'll never dance with another (Oh) Since I saw her standing there  Oh, since I saw her standing there Yeah, well, since I saw her standing there21Embed"
I Saw Her Standing There (Live at the BBC for “Easy Beat” / 20th October 1963),Edit 
I Saw Her Standing There (Take 9),"(One, two, three, four) Well, she was just seventeen You know what I mean And the way she looked Was way beyond compare So how could I dance with another Ooh, when I saw her standing there? Well, she looked at me And I, I could see That before too long I'd fall in love with her She wouldn't dance with another Ooh, when I saw her standing there Well, my heart went ""boom"" When I crossed that room And I held her hand in mine Oh we danced through thе night And we held each othеr tight And before too long I fell in love with her Now I'll never dance with another Ooh, since I saw her standing there Well, my heart went, ""Boom"" When I crossed that room And I held her hand in mine Oh, we danced through the night And we held each other tight And before too long I fell in love with her Now I'll never dance with another Oh, since I saw her standing there Oh, since I saw her standing there Yeah, well since I saw her standing thereEmbed"
I Should Have Known Better," I should have known better with a girl like you That I would love everything that you do And I do, hey, hey, hey, and I do  Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see  That when I tell you that I love you, oh You're going to say you love me too, oh And when I ask you to be mine You're gonna say you love me too  So I should have realized a lot of things before If this is love you've got to give me more Give me more, hey hey hey, give me more   Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see That when I tell you that I love you, oh You're going to say you love me too, oh And when I ask you to be mine You're going to say you love me too  You love me too, you love me too You love me too3Embed"
It’s All Too Much," It's all too much It's all too much  When I look into your eyes, your love is there for me And the more I go inside, the more there is to see  It's all too much for me to take The love that's shining all around you Everywhere, it's what you make For us to take, it's all too much  Floating down the stream of time from life to life with me Makes no difference where you are or where you'd like to be  It's all too much for me to take The love that's shining all around here All the world is birthday cake So take a piece but not too much  Sail me on a silver sun, where I know that I'm free Show me that I'm everywhere, and get me home for tea It's all too much for me to see The love that's shining all around here The more I learn, the less I know But what I do is all too much It's all too much for me to take The love that's shining all around you Everywhere, it's what you make For us to take, it's all too much  It's too much Ah, it's too much With your long blond hair and your eyes of blue With your long blond hair and your eyes of blue You're too much, ah We all get too much Too much, too much, too much Too much a, too much a, too much a Too much a, too much a, too much a Too much a, too much a, too much a Too much a, too much a, too much a Too much a, too much a, too much a Too much a, too much a, too much a Too much a, too much a, too much a Too much a Too much, too much, too much, too much, too much Too much, too much, too much, too much, too much Too much, too much, too much, too much, too much Too much, too much, too much, too much, too much Too much, too much, too much, too much, too much1Embed"
It’s for You,"I'd say some day I'm bound to give my heart away When I do It's for you love, true love Seems to be all I'm thinking of But it's true It's for you They said that love was a lie Told me that I Never should try to find Somebody who'd be kind Kind to only me So I just tell them they're right Who wants a fight Tell them I quite agree Nobody'd love me Then I look at you And love comes love shows I give my heart and no one knows That I do It's for you It's for you It's for youEmbed"
It’s Only Love," I get high when I see you go by My, oh, my When you sigh, my, my inside just flies Butterflies Why am I so shy when I'm beside you?  It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you  Is it right that you and I should fight Every night? Just the sight of you makes nighttime bright Very bright Haven't I the right to make it up, girl?  It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you Yes, it's so hard loving you, loving you2Embed"
It’s Only Love (Takes 3 & 2)," I get high when I see you go by My oh my When you sigh, my, my inside just flies Butterflies Why am I so shy when I'm beside you?  It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you  Is it right that you and I should fight Every night? Just the sight of you makes nighttime bright Very bright Haven't I the right to make it up girl?  It's only love and that is all Why should I feel the way I do? It's only love, and that is all But it's so hard loving you Yes it's so hard loving you, loving youEmbed"
It Won’t Be Long," It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you  Every night when everybody has fun Here am I sitting all on my own  It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you  Since you left me, I'm so alone Now you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home  Every night the tears come down from my eyes Every day I've done nothing but cry  It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you Since you left me, I'm so alone Now you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home  So every day we'll be happy I know Now I know that you won't leave me no more  It won't be long yeah, yeah, yeah It won't be long yeah, yeah It won't be long yeah, till I belong to you2Embed"
I’ve Got a Feeling," I've got a feeling, a feeling deep inside Oh yeah, oh yeah, that's right I've got a feeling, a feeling I can't hide Oh no, no, oh no! Oh no Yeah, yeah! I've got a feeling, yeah! Ooh!  Oh please, believe me, I'd hate to miss the train Oh yeah, yeah, oh yeah! And if you leave me I won't be late again Oh no, oh no! Oh no (Yeah) Yeah, yeah! I've got a feeling, yeah! I've got a feeling All these years I've been wandering around Wondering how come nobody told me All that I was looking for was somebody who looked like you! Ooh!  I've got a feeling, that keeps me on my toes Oh yeah, oh yeah (Oh yeah!) I've got a feeling, I think that everybody knows Oh yeah, oh yeah! Oh yeah Yeah, yeah! I've got a feeling, yeah! Yeah Everybody had a hard year Everybody had a good time Everybody had a wet dream Everybody saw the sunshine Oh yeah (Oh yeah), oh yeah, oh yeah (Yeah)  Everybody had a good year Everybody let their hair down Everybody pulled their socks up (Yeah) Everybody put their foot down, oh yeah  Yeah, woo-hoo! I've got a feeling (Everybody had a good year) A feeling deep inside (Everybody had a hard time) Oh yeah (Everybody had a wet dream) Oh yeah (Everybody saw the sunshine) I've got a feeling (Everybody had a good year) A feeling I can't hide (Everybody let their hair down) Oh no (Everybody pulled their socks up) Oh no, no (Everybody put their foot down, oh yeah) Yeah, yeah!  I've got a feeling (Oh yeah) I've got a feeling (Oh yeah) I've got a feeling Yeah, yeah, yeah, yeah (Oh my soul, so hard)6Embed"
I’ve Got a Feeling (Rooftop Performance / Take 1)," I've got a feeling, a feeling deep inside Oh yeah, oh yeah, that's right I've got a feeling, a feeling I can't hide Oh no, no, oh no! Oh no Yeah, yeah! I've got a feeling, yeah! Ooh!  Oh please, believe me, I'd hate to miss the train Oh yeah, yeah, oh yeah! And if you leave me I won't be late again Oh no, oh no! Oh no (Yeah) Yeah, yeah! I've got a feeling, yeah! I've got a feeling  All these years I've been wandering around Wondering how come nobody told me All that I was looking for was somebody who looked likе you! Ooh!  I've got a feeling, that keeps me on my toes Oh yеah, oh yeah (Oh yeah!) I've got a feeling, I think that everybody knows Oh yeah, oh yeah! Oh yeah Yeah, yeah! I've got a feeling, yeah! Yeah Everybody had a hard year Everybody had a good time Everybody had a wet dream Everybody saw the sunshine Oh yeah (Oh yeah), oh yeah, oh yeah (Yeah)  Everybody had a good year Everybody let their hair down Everybody pulled their socks up (Yeah) Everybody put their foot down, oh yeah  Yeah, woo-hoo! I've got a feeling (Everybody had a good year) A feeling deep inside (Everybody had a hard time) Oh yeah (Everybody had a wet dream) Oh yeah (Everybody saw the sunshine) I've got a feeling (Everybody had a good year) A feeling I can't hide (Everybody let their hair down) Oh no (Everybody pulled their socks up) Oh no, no (Everybody put their foot down, oh yeah) Yeah, yeah!  I've got a feeling (Oh yeah) I've got a feeling (Oh yeah) I've got a feeling Yeah, yeah, yeah, yeah (Oh my soul, so hard)Embed"
I’ve Got a Feeling (Rooftop Performance / Take 2)," John Lennon: Glyn? Running Ok are you ready on the...  I've got a feeling, a feeling deep inside Oh yeah, oh yeah I've got a feeling, a feeling I can't hide No, no (oh), oh no! No no Yeah, yeah! I've got a feeling!  Oh please, believe me, I'd hate to miss the train Oh yeah, oh yeah! And if you leave me I won't be late again Oh no, oh no! Oh no (Yeah) Yeah, yeah! I've got a feeling, yeah!  All these years I've been wandering around Wondering how come nobody told me All that I was looking for was somebody who looks like you!  I've got a feeling that keeps me on my toes Oh yeah, oh yeah! I've got a feeling, I think that everybody knows Oh yeah, oh yeah, oh yeah Yeah, yeah! I've got a feeling! Oh, yeah Everybody had a hard year Everybody had a head dream Everybody saw the sunshine Everybody getting obscene Oh yeah (Oh yeah), oh yeah, oh yeah (oh yeah)  Everybody had a good year Everybody let their hair down Everybody pulled their socks up (Yeah) Everybody put their foot down, oh yeah  I've got a feeling (Everybody had a good year) A feeling deep inside (Everybody had a hard time) Oh yeah (Everybody had a wet dream) Oh yeah (Everybody saw the sunshine) I've got a feeling (Everybody had a good year) A feeling I can't hide (Everybody let their hair down) Oh no (Everybody pulled their socks up) Oh no (Everybody put their foot down, oh yeah) Yeah, ooh, yeah!  I've got a feeling, yeah I've got a feeling, yeah My pretty girl is like a melody...Embed"
I’ve Got A Feeling (Take 10)," I've got a feeling, a feeling deep inside Oh yeah, oh yeah, that's right I've got a feeling, a feeling I can't hide Oh no, no, oh no! Oh no Yeah, yeah! I've got a feeling, yeah! Ooh!  Oh please, believe me, I'd hate to miss the train Oh yeah, yeah, oh yeah! And if you leave me I won't be late again Oh no, oh no! Oh no (Yeah) Yeah, yeah! I've got a feeling, yeah! I've got a feeling  All these years I've been wandering around Wondering how come nobody told me All that I was looking for was somebody who looked like you! Ooh!  I've got a feeling, that keeps me on my toes Oh yeah, oh yeah (Oh yeah!) I've got a feeling, I think that everybody knows Oh yeah, oh yeah! Oh yeah Yeah, yeah! I've got a feeling, yeah! Yeah Everybody had a hard year Everybody had a good time Everybody had a wet dream Everybody saw the sunshine Oh yeah (Oh yeah), oh yeah, oh yeah (Yeah)  Everybody had a good year Everybody let their hair down Everybody pulled their socks up (Yeah) Everybody put their foot down, oh yeah  Yeah, woo-hoo! I've got a feeling (Everybody had a good year) A feeling deep inside (Everybody had a hard time) Oh yeah (Everybody had a wet dream) Oh yeah (Everybody saw the sunshine) I've got a feeling (Everybody had a good year) A feeling I can't hide (Everybody let their hair down) Oh no (Everybody pulled their socks up) Oh no, no (Everybody put their foot down, oh yeah) Yeah, yeah!  I've got a feeling (Oh yeah) I've got a feeling (Oh yeah) I've got a feeling Yeah, yeah, yeah, yeah (Oh my soul, so hard)Embed"
I’ve Just Seen a Face," I've just seen a face I can't forget the time or place Where we just met, she's just the girl for me And I want all the world to see we've met Mmm-mmm-mmm-m'mmm-mmm  Had it been another day I might have looked the other way And I'd have never been aware But as it is I'll dream of her tonight Di-di-di-di'n'di  Fallin', yes I am fallin' And she keeps callin' me back again  I have never known the like of this I've been alone And I have missed things and kept out of sight But other girls were never quite like this Da-da-n'da-da'n'da  Fallin', yes I am fallin' And she keeps callin' me back again  Fallin', yes I am fallin' And she keeps callin' me back again  I've just seen a face I can't forget the time or place Where we just met, she's just the girl for me And I want all the world to see we've met Mmm-mmm-mmm-da-da-da  Fallin', yes I am fallin' And she keeps callin' me back again Fallin', yes I am fallin' And she keeps callin' me back again  Oh, fallin', yes I am fallin' And she keeps callin' me back again6Embed"
I Wanna Be Your Man," I wanna be your lover, baby I wanna be your man I wanna be your lover, baby I wanna be your man Love you like no other, baby Like no other can Love you like no other, baby Like no other can  I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man  Tell me that you love me, baby Let me understand Tell me that you love me, baby I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man  I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man I wanna be your lover, baby I wanna be your man I wanna be your lover, baby I wanna be your man Love you like no other, baby Like no other can Love you like no other, baby Like no other can  I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man  I wanna be your man Oh, I wanna be your man Come on, I wanna be your man Now let me be your man1Embed"
I Wanna Be Your Man [Live at the BBC Disk 2]," I want to be your lover baby I want to be your man I want to be your lover baby I want to be your man Love you like no other baby Like no other can Love you like no other baby Like no other can  I want to be your man, I want to be your man I want to be your man, I want to be your man  Tell me that you love me baby Let me understand Tell me that you love me baby I want to be your man I want to be your lover baby I want to be your man I want to be your lover baby I want to be your man  I want to be your lover baby I want to be your man I want to be your lover baby I want to be your man Love you like no other baby Like no other can Love you like no other baby Like no other can  I want to be your man, I want to be your man I want to be your man, I want to be your manEmbed"
I Want to Hold Your Hand," Oh, yeah, I'll tell you something I think you'll understand When I'll say that something I wanna hold your hand  I wanna hold your hand I wanna hold your hand  Oh, please, say to me You'll let me be your man And please, say to me You'll let me hold your hand  Now let me hold your hand I wanna hold your hand  And when I touch you I feel happy inside It's such a feeling that, my love I can't hide I can't hide I can't hide Yeah, you Got that something I think you'll understand When I'll Say that something I want to hold your hand  I wanna hold your hand I wanna hold your hand  And when I touch you I feel happy inside It's such a feeling that, my love I can't hide I can't hide I can't hide  Yeah, you Got that something I think you'll understand When I'll Feel that something I wanna hold your hand I wanna hold your hand I wanna hold your hand I wanna hold your hand14Embed"
I Want to Hold Your Hand [Live at The Ed Sullivan Show]," Oh yeah, I'll tell you something I think you'll understand When I'll say that something I want to hold your hand  I want to hold your hand I want to hold your hand  Oh please, say to me You'll let me be your man And please, say to me You'll let me hold your hand  Now let me hold your hand I want to hold your hand  And when I touch you I feel happy inside It's such a feeling that my love I can't hide I can't hide I can't hide  Yeah, you got that something I think you'll understand When I'll say that something I want to hold your hand  I want to hold your hand I want to hold your hand  And when I touch you I feel happy inside It's such a feeling that my love I can't hide I can't hide I can't hide  Yeah, you got that something I think you'll understand When I feel that something I want to hold your hand  I want to hold your hand I want to hold your hand I want to hold your handEmbed"
I Want to Hold Your Hand [Live at the Hollywood Bowl] [Bonus Track]," Oh yeah, I'll tell you something I think you'll understand When I'll say that something I want to hold your hand  I want to hold your hand I want to hold your hand  Oh please, say to me You'll let me be your man And please, say to me You'll let me hold your hand  Now let me hold your hand I want to hold your hand  And when I touch you I feel happy inside It's such a feeling that my love I can't hide I can't hide I can't hide Yeah, you got that something I think you'll understand When I'll say that something I want to hold your hand  I want to hold your hand I want to hold your hand  And when I touch you I feel happy inside It's such a feeling that my love I can't hide I can't hide I can't hide  Yeah, you got that something I think you'll understand When I feel that something I want to hold your hand  I want to hold your hand I want to hold your hand I want to hold your handEmbed"
I Want to Tell You," I want to tell you My head is filled with things to say When you're here All those words, they seem to slip away  When I get near you The games begin to drag me down It's all right I'll make you maybe next time around  But if I seem to act unkind It's only me, it's not my mind That is confusing things  I want to tell you I feel hung up but I don't know why I don't mind I could wait forever, I've got time  Sometimes I wish I knew you well Then I could speak my mind and tell you Maybe you'd understand I want to tell you I feel hung up but I don't know why I don't mind I could wait forever, I've got time  I've got time I've got time3Embed"
I Want You (She’s So Heavy)," I want you, I want you so bad I want you, I want you so bad, it's driving me mad It's driving me mad I want you, I want you so bad, babe I want you, I want you so bad, it's driving me mad It's driving me—   I want you, I want you so bad, babe I want you, I want you so bad, it's driving me mad It's driving me mad I want you, I want you so bad I want you, I want you so bad, it's driving me mad It's driving me—   She's so Heavy Heavy (Heavy, heavy)  She's so Heavy She's so heavy (Heavy, heavy)  I want you, I want you so bad I want you, I want you so bad, it's driving me mad It's driving me mad I want you, you know I want you so bad, babe I want you, you know I want you so bad, it's driving me mad It's driving me mad  Yeah  She's so— 19Embed"
I Will," Who knows how long I've loved you? You know I love you still Will I wait a lonely lifetime? If you want me to, I will  For if I ever saw you I didn't catch your name But it never really mattered I will always feel the same  Love you forever and forever Love you with all my heart Love you whenever we're together Love you when we're apart  And when at last I find you Your song will fill the air Sing it loud so I can hear you Make it easy to be near you For the things you do endear you to me Oh, you know, I will I will Mm mm mm mm mm mm mm mm mm Da da da da da da da16Embed"
I Will (Take 1)," Who knows how long I've loved you, yeah? You know I love you still Will I wait a lonely lifetime? If you want me to, I will, hmm  You know if I ever saw you I didn't catch your name But it never really mattered I will always feel the same  Love you forever and forever Love you with all my heart Love you whenever we're together Love you with all my heart  And when at last I find you Your song will fill the air When it loud so I can hear you Make it easy to be near you For the things you do endear me to you Oh, you know, I will I will Da da da da da da da da da Da da da da da da daEmbed"
I Will (Take 13)," Love you forever, and for- I hardly think so!  What the hell's going on?!  Well you know, gentlemen, I mean..!  It verges from the sublime to the ridiculode! (Well - 1, 2, 3)  Who knows how long I've loved you? You know I love you still Will I wait a lonely lifetime? If you want me to, I will  For if I ever saw you I didn't catch your name But it never really mattered I will always feel the same  Love you forever, and forever Love you with all my heart Love you whenever we're together Love you when we're apart  And when at last I find you Your song will fill the air Sing it loud so I can hear you Make it easy to be to near you For the things you do endear you to me Oh, you know, I will, I will Da-da-da da-da La-da-da-da La-da-da-da-da-da-da You know that it's true (Rattle them skulls)Embed"
I Will (Take 29),"One, two, three Who knows how long I've loved you You know I love you still Will I wait a lonely lifetime? If you want me to, I won't Yes, you willEmbed"
Jazz Piano Song,The Beatles Miscellaneous Jazz Piano Song (Instrumental)Embed
Jingle Bells,"Dashing through the snow, in a one-horse open sleigh Over the fields we go, laughing all the way Bells on bob-tail ring, making spirits bright What fun it is to ride and sing a sleighing song tonight  Jingle bells, jingle bells, jingle all the way! O what fun it is to ride in a one-horse open sleigh Jingle bells, jingle bells, jingle all the way! O what fun it is to ride in a one-horse open sleigh A day or two ago, I thought I'd take a ride And soon Miss Fanny Bright, was seated by my side The horse was lean and lank, misfortune seemed his lot He got into a drifted bank and we got upsot  A day or two ago, the story I must tell I went out on the snow, and on my back I fell A gent was riding by, in a one-horse open sleigh He laughed as there I sprawling lie but quickly drove away  Now the ground is white, go it while you're young Take the girls tonight, and sing this sleighing song Just get a bob-tailed bay, two-forty as his speed Hitch him to an open sleigh and crack! you'll take the lead Embed"
"Johnny B. Goode (Live at the BBC for “Saturday Club” / 15th February, 1964)"," Deep down in Louisiana Close to New Orleans Way back up in the woods Among the evergreens There stand a country cabin Made of clay and wood Where lives a young country boy Named Johnny B. Goode He never learned To read or write a book so well But he could play his guitar Just like a-ringing a bell  Go go, go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Aah Johnny B. Goode!  He used to carry his guitar In a gunny sack Sit beneath the trees By the railroad track Oh sitting and a-playing In the shade Drumming to the rhythm That the drivers made People passing by Used to stop and say My oh my That country boy can play Go go, go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Aah Johnny B. Goode!  Well his mama told him Someday you will be a man And you will be the leader Of a big old band Many people coming From miles around To hear you play your music Till the sun goes down Maybe some day Your name will be in light Saying Johnny B. Goode tonight!  Go go, go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Go Johnny go go go! Aah Johnny B. Goode!Embed"
Julia," Half of what I say is meaningless But I say it just to reach you, Julia  Julia, Julia Ocean child calls me So I sing a song of love, Julia  Julia, seashell eyes Windy smile calls me So I sing a song of love, Julia  Her hair of floating sky is shimmering Glimmering in the sun  Julia, Julia Morning moon, touch me So I sing a song of love, Julia  When I cannot sing my heart I can only speak my mind, Julia Julia, sleeping sand Silent cloud, touch me So I sing a song of love, Julia  Hmm hmm hmm Calls me So I sing a song of love for Julia  Julia, Julia4Embed"
Julia (Esher Demo)," Hello, Paul! (Hello!) (Okay) Maybe you could turn the level of this mic down a little  Half of what I say is meaningless But I say it just to reach you Julia  Julia, Julia, ocean child, calls me So I sing a song of love, Julia Julia, seashell eyes, windy smile, calls me So I sing a song of love, Julia Julia, Julia, morning moon, touch me So I sing a song of love, Julia Julia, sleeping sand, silent cloud, touch me So I sing a song of love, Julia  Her hair of floating sky is shimmering, glimmering In the sun  Julia, Julia, ocean child, calls me So I sing a song of love, Julia Julia, seashell eyes, windy smile, calls me So I sing a song of love, Julia When I cannot sing my heart I can only speak my mind, Julia Julia Julia OkayEmbed"
Julia (Take 2),"Half of what I say is meaningless But I say it just to reach you, Julia Julia  That was a great take until then John: It was till then Paul: Maybe try it again, there was one or two little  John: There was just the one wasn't there? Paul: That was great  let me tell you John: I couldn't ha... Couldn't I go from there? Yea... Paul:  John: Cause that one was perfect, wasn't it?Embed"
Julia (Two Rehearsals)," Is it better  we think It's very hard to sing this y’know (Yes a very hard song, John) Yeah, maybe I should strum it the first time  Half of what I say is meaningless But I say it just to reach you, Ju-  Julia, Julia Ocean child calls me So I sing a song of love for Julia  Seashell eyes Windy smile calls me So I sing a song of love for Ju-  Do you think it's better like that? I'm singing it better But I can’t play it better I'll just try picking it again but slightly faster  Half of what I say is meaningless But I say it just to reach you, Ju- Julia, Julia Ocean child calls me So I sing the song of love for Julia  Seashell eyes Windy smile calls me So I sing a song of love for Julia  Her hair of floating sky is shimmering Glimmering in the sun  Julia, Julia Morning moon, touch me So I sing a song of love for Julia  When I cannot sing my heart I can only speak my mind, Julia  Silent Cloud Sleeping sand, touch me So I sing the song of love for Julia Hmm hmm hmm Hmm hmm hmm, hmm hmm So I sing a song of love for Julia  Yes? Yeah, it is betterEmbed"
Junk,"Motorcars Handlebars Bicycles for two Broken hearted jubilee Parachutes Army boots Sleeping bags for two Sentimental jamboree Motorcars Handlebars Bicycles for you Broken hearted jubilee Parachutes Army boots Sleeping bags for two Sentimental jamboree Ah, ah The shop window Why why, says the sign In the yard Buy buy, says the sign In the shop window Why why, says the junk In the yardEmbed"
Junk (Esher Demo)," Motorcars, handlebars Bicycles for two Broken-hearted jubilee Parachutes, army boots Sleeping bags for two  —boree   Motorcars, handlebars Bicycles for two Broken-hearted jubilee Parachutes, army boots Sleeping bag for you  jamboree   shop window ""Why? Why?"" says the junk in the yard  ""Buy! Buy!"" says the sign in the shop window ""Why? Why?"" says the junk in the yard  1Embed"
Just A Rumour,"  George, is it true you're a connoisseur of the classics?  No, it's just a rumor  It's just a rumor  A rumor, mmm   Do you enjoy singing Beethoven?  No, been singing it for 28 years now, y'know  For how long?  28 years  That's incredible, could you manage one more performance?  Um, possibly  Oh go on, say yes  Yes. Thank youEmbed"
Just A Rumour (Speech),"Alan Freeman: George, is it true that you're a connoisseur of the classics? George: No, it's just a rumour, a rumour Alan: Just a rumour? George: Hmm Alan: Did you enjoy singing ""Beethoven""? George No. Been singing it for 28 years, now, you know Alan: For how long? George: Twenty-eight years Alan: That's incredible. Could you manage one more performance? George: Um, possibly Alan: Oh, go on, say, ""yes."" George: Yes, thank youEmbed"
Just Fun," We said that our love was just fun The day that our friendship begun Well theres no blue moon that I can see Theres ever been in history Because our love was just fun  We said that our love was just fun The day that our friendship begun Well theres no blue moon that I can see Theres ever been in history Because our love was just fun Just Fun, Just Fun, Just Fun...Embed"
Kansas City,"Ah, Kansas City Coming to get my baby back home Yeah, yeah I'm gonna Kansas city Coming to get my baby back home Yeah, yeah Well, it's a long, long, time Since my baby's been gone Ah, Kansas City Coming to get my baby on time Yeah, yeah I'm gonna Kansas City Coming to get my baby on time Yeah, yeah It's just a one, two, three, four Five, six, seven, eight, nine, wah Hey, hey, hey, hey Hey, baby, you're no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you Hey, hey, hey, hey Hey, baby, you're no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you Well, I'll say bye Bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said Bye, bye, baby, bye, bye Bye, bye, bye, bye Well, I'll say bye Bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said Bye, bye, baby, bye, bye Bye, bye, bye, byeEmbed"
